item_id,order_id,product_id,quantity,unit_price,discount_pct,subtotal
1,1,54,4,1191.56,5.0,4527.93
2,2,108,2,1152.61,20.0,1844.18
3,2,100,4,435.35,0.0,1741.4
4,2,77,1,706.9,15.0,600.87
5,3,6,4,854.35,0.0,3417.4
6,3,85,2,970.63,0.0,1941.26
7,3,82,1,770.44,0.0,770.44
8,3,21,4,762.19,0.0,3048.76
9,4,69,3,70.21,0.0,210.63
10,4,121,3,559.39,15.0,1426.44
11,5,37,3,1194.85,0.0,3584.55
12,5,110,3,389.55,0.0,1168.65
13,5,98,1,81.33,5.0,77.26
14,5,106,2,59.95,0.0,119.9
15,6,109,4,964.72,0.0,3858.88
16,6,17,1,179.76,5.0,170.77
17,6,62,1,950.34,0.0,950.34
18,6,30,1,994.87,20.0,795.9
19,6,50,2,89.64,0.0,179.28
20,7,31,4,695.63,10.0,2504.27
21,8,57,2,868.31,5.0,1649.79
22,8,77,1,706.9,15.0,600.87
23,8,120,2,368.17,20.0,589.07
24,9,93,3,419.31,0.0,1257.93
25,9,73,1,1121.04,0.0,1121.04
26,10,111,3,865.74,0.0,2597.22
27,10,45,4,260.04,0.0,1040.16
28,10,116,1,560.79,5.0,532.75
29,11,20,3,500.0,10.0,1350.0
30,11,9,2,424.22,0.0,848.44
31,11,81,2,501.44,0.0,1002.88
32,11,85,4,970.63,0.0,3882.52
33,12,9,2,424.22,10.0,763.6
34,12,68,3,898.67,10.0,2426.41
35,12,21,2,762.19,10.0,1371.94
36,12,124,3,12.62,0.0,37.86
37,13,88,1,297.15,5.0,282.29
38,14,69,1,70.21,10.0,63.19
39,14,93,2,419.31,15.0,712.83
40,14,120,3,368.17,0.0,1104.51
41,14,5,2,886.45,0.0,1772.9
42,14,88,2,297.15,0.0,594.3
43,15,1,1,360.76,20.0,288.61
44,15,50,1,89.64,20.0,71.71
45,15,29,1,258.16,10.0,232.34
46,15,70,1,466.13,0.0,466.13
47,16,120,4,368.17,0.0,1472.68
48,16,88,4,297.15,5.0,1129.17
49,16,117,2,1014.59,15.0,1724.8
50,16,63,3,775.32,0.0,2325.96
51,17,62,2,950.34,5.0,1805.65
52,17,69,3,70.21,0.0,210.63
