order_id,customer_id,order_date,status,payment_method,shipping_country,total_amount
1,430,2023-12-10,en cours,carte_bancaire,Tunisie,29.09
2,435,2023-07-30,en cours,apple_pay,Allemagne,621.95
3,215,2023-05-26,livré,paypal,Maroc,129.19
4,23,2024-06-16,expédié,cash_on_delivery,Italie,1795.6
5,235,2023-04-08,expédié,apple_pay,Espagne,178.96
6,327,2024-08-04,annulé,carte_bancaire,Tunisie,158.91
7,340,2023-09-25,expédié,paypal,Tunisie,481.18
8,359,2024-04-08,annulé,paypal,Allemagne,659.24
9,39,2024-08-21,expédié,carte_bancaire,Espagne,280.86
10,55,2024-02-21,livré,carte_bancaire,Canada,937.45
11,184,2023-11-12,expédié,cash_on_delivery,Belgique,423.2
12,437,2024-12-03,livré,paypal,USA,323.65
13,21,2023-06-01,livré,carte_bancaire,Allemagne,1714.58
14,496,2024-11-24,livré,paypal,Belgique,1031.78
15,420,2024-02-19,expédié,cash_on_delivery,Canada,71.85
16,384,2023-04-15,livré,virement,Maroc,198.5
17,7,2023-08-16,livré,virement,Allemagne,1564.11
18,422,2024-10-22,livré,carte_bancaire,USA,1375.71
19,301,2023-01-23,livré,carte_bancaire,Allemagne,1627.37
20,463,2023-04-05,en cours,paypal,Maroc,1620.5
21,22,2024-08-10,expédié,cash_on_delivery,Tunisie,110.77
22,255,2023-06-26,livré,paypal,Allemagne,1369.59
23,466,2023-06-02,livré,carte_bancaire,USA,566.91
24,318,2024-05-25,en cours,cash_on_delivery,Canada,1298.08
25,246,2023-05-21,livré,cash_on_delivery,Allemagne,566.75
26,330,2024-10-07,remboursé,apple_pay,France,1056.37
27,196,2024-07-11,annulé,cash_on_delivery,Italie,724.63
28,468,2023-10-04,livré,virement,France,649.99
29,164,2023-10-15,livré,carte_bancaire,Sénégal,68.31
30,272,2023-08-27,livré,virement,Maroc,1172.14
31,127,2023-02-27,en cours,virement,USA,540.39
32,434,2023-06-27,expédié,virement,Allemagne,782.96
33,304,2024-01-03,livré,apple_pay,France,1478.83
34,361,2024-07-31,en cours,virement,USA,1895.64
35,486,2024-05-19,livré,apple_pay,Belgique,1976.13
36,90,2023-08-27,livré,apple_pay,Allemagne,189.61
37,11,2024-09-20,livré,virement,Espagne,11.36
38,175,2023-11-28,en cours,carte_bancaire,France,1838.37
39,76,2023-04-24,livré,apple_pay,Italie,1835.28
40,492,2024-11-09,livré,cash_on_delivery,USA,1412.03
41,52,2023-06-11,livré,cash_on_delivery,Sénégal,651.98
42,333,2024-07-29,livré,apple_pay,Italie,1417.29
43,115,2024-01-23,en cours,paypal,Belgique,1630.76
44,66,2024-12-19,livré,apple_pay,Tunisie,13.58
45,436,2023-02-03,expédié,virement,USA,1930.72
46,163,2023-08-15,expédié,apple_pay,Maroc,1935.39
47,480,2023-03-21,livré,virement,Italie,669.03
48,164,2023-04-01,livré,paypal,Sénégal,1771.79
49,6,2023-03-11,livré,paypal,Belgique,506.59
50,403,2024-01-31,livré,cash_on_delivery,Tunisie,12.55
51,497,2024-01-23,livré,paypal,Canada,833.9
52,193,2024-08-14,livré,virement,Espagne,964.18
53,232,2023-10-29,livré,carte_bancaire,Italie,1693.07
54,134,2023-06-24,expédié,cash_on_delivery,Espagne,157.66
55,375,2023-04-06,livré,paypal,USA,1884.25
56,315,2024-03-17,remboursé,virement,USA,1411.96
57,456,2023-12-06,livré,virement,Allemagne,116.58
58,210,2024-07-07,en cours,paypal,Belgique,1446.86
59,153,2024-08-08,livré,apple_pay,Sénégal,108.77
60,79,2023-03-31,livré,paypal,USA,17.59
61,246,2023-06-24,livré,paypal,Maroc,61.21
62,243,2024-02-12,annulé,cash_on_delivery,Sénégal,623.62
63,459,2024-07-11,en cours,cash_on_delivery,Espagne,191.36
64,190,2024-04-01,remboursé,carte_bancaire,Belgique,745.11
65,226,2023-10-03,livré,apple_pay,France,460.22
66,78,2023-03-29,annulé,paypal,Canada,1338.26
67,212,2024-07-20,expédié,carte_bancaire,Tunisie,1183.56
68,420,2024-12-04,livré,cash_on_delivery,USA,1931.6
69,452,2024-02-09,livré,carte_bancaire,Canada,604.72
70,293,2024-11-24,expédié,apple_pay,Espagne,1602.9
71,62,2023-06-21,expédié,virement,Allemagne,903.59
72,65,2024-11-30,livré,cash_on_delivery,Allemagne,165.95
73,422,2023-09-22,en cours,paypal,Maroc,1669.88
74,45,2023-11-30,livré,paypal,Canada,800.74
75,235,2024-12-18,expédié,apple_pay,USA,34.6
76,268,2023-06-03,annulé,virement,USA,233.91
77,302,2023-04-13,livré,carte_bancaire,USA,1930.02
78,400,2024-07-02,livré,paypal,Tunisie,579.32
79,136,2024-09-15,livré,cash_on_delivery,France,976.31
80,89,2024-09-15,livré,cash_on_delivery,France,296.27
